Rxn,Flux
IG3PS,0.032492672145701
PHETRS,0.048480775727243
PRFGS,0.157082106911253
PFL,0.250635502517611
PDH,0.596195633791029
CBPS,0.203015597494952
RNFfld,0.008912376837074
RNFfdx,-0.004040795172523
ISOP_R,0.060622458782385
ISOP_tPP,0.060622458782385
ISOP_ePP,0.060622458782385
